article_id,topic,clean_url,title,abstract,domain,id_bucket,quality_bucket,first_post_time,id_estimation,quality,selected
8865,abortion,https://www.theonion.com/kavanaugh-thomas-champion-creating-better-future-for-n-1849106105,"Kavanaugh, Thomas Champion Creating Better Future For Next Generation Of Rapists","WASHINGTON—In a touching moment following Friday’s Supreme Court’s 5-4 decision overruling Roe v. Wade and eliminating the constitutional right to an abortion, Justices Brett Kavanaugh and Clarence Thomas reportedly championed the better future they’d created for the next generation of rapis...",theonion.com,0,1,2022-06-24 17:40:00.000,-1.67,0.45,1
2465,abortion,https://docs.google.com/document/d/e/2PACX-1vRqbxh96ynlqdYUInUZB5GWrE2GIcW3FEXdtxO_n2BXMAd2HOkNssn3aP77zSXBN43TIJ3Xab2ih9vE/pub,Roe v. Wade: What You Can Do,"We're sending love to all of our pregnancy-capable friends, family and loved ones. We are also scared for our LGBTQIA friends whose marriages, healthcare and safety are also called into question by this opinion. It is bad and it is going to get worse.",google.com,0,3,2022-05-07 14:40:00.000,-1.71,0.67,0
6260,abortion,https://www.nytimes.com/2022/06/24/opinion/roe-v-wade-dobbs-decision.html,Opinion | Requiem for the Supreme Court,The decision overturning Roe v. Wade is a stunning moment for America and for its high court.,nytimes.com,0,4,2022-06-25 01:10:00.000,-1.71,0.86,0
6661,abortion,https://jezebel.com/supreme-court-roe-v-wade-draft-cites-sir-matthew-hale-1848872890,"In Leaked Abortion Decision, Justice Alito Relies on Jurist Who Supported Marital Rape, Executed 'Witches'","The draft Supreme Court opinion striking down Roe v. Wade heavily references Sir Matthew Hale, a 17th century Brit who dehumanized women.",jezebel.com,0,2,2022-05-03 14:20:00.000,-2.27,0.49,1
2823,abortion,https://www.politico.com/news/2022/05/02/supreme-court-abortion-draft-opinion-00029473,"Exclusive: Supreme Court has voted to overturn abortion rights, draft opinion shows","We hold that Roe and Casey must be overruled, Justice Alito writes in an initial majority draft circulated inside the court.",politico.com,1,4,2022-05-03 00:30:00.000,-0.57,0.86,0
2055,abortion,https://www.cnbc.com/2022/06/24/roe-v-wade-overturned-by-supreme-court-ending-federal-abortion-rights.html,"Supreme Court overturns Roe v. Wade, ending 50 years of federal abortion rights","The Supreme Court has overturned Roe v. Wade, the landmark ruling that enshrined abortion as a constitutional right in the U.S. for almost half a century.",cnbc.com,1,4,2022-06-24 14:10:00.000,-0.60,0.85,0
5295,abortion,https://www.cnn.com/2022/06/24/politics/dobbs-mississippi-supreme-court-abortion-roe-wade/index.html,Supreme Court overturns Roe v. Wade | CNN Politics,"The Supreme Court overturned Roe v. Wade on Friday, holding that there is no longer a federal constitutional right to an abortion. ",cnn.com,1,3,2022-06-24 14:10:00.000,-0.95,0.66,1
8416,abortion,https://thehill.com/policy/healthcare/3544588-10-year-old-girl-denied-abortion-in-ohio/,10-year-old girl denied abortion in Ohio,"A 10-year-old girl was denied an abortion in Ohio after the Supreme Court ruled last week that it was overturning Roe v. Wade, demonstrating the tangible impacts that the high court’s decision is h…",thehill.com,1,4,2022-07-02 13:30:00.000,-1.19,0.90,1
8621,abortion,https://www.mcclatchydc.com/news/politics-government/white-house/article262720637.html,"U.S. Supreme Court overturns Roe v. Wade, ending constitutional right to abortion","WASHINGTON – The U.S. Supreme Court has overturned Roe v. Wade, a landmark 1973 court ruling that established abortion as a constitutional right, that revokes the right from women and shifts authority over the procedure to the states.",mcclatchydc.com,2,3,2022-06-24 14:20:00.000,-0.54,0.82,1
7311,abortion,https://news.yahoo.com/supreme-court-repeals-roe-v-wade-sends-abortion-back-to-the-states-142310680.html,"Supreme Court overturns Roe v. Wade, sends abortion back to the states","Roe has fallen, and the fight over abortion in America will now rage on into a new and possibly even more polarizing and divisive chapter.",yahoo.com,2,3,2022-06-24 14:20:00.000,-0.51,0.69,0
