seed,partition,num_news,popularity
223,1,4,312.06
223,1,5,106.02
223,1,6,607.05
223,1,7,102.01
223,1,8,510.09000000000003
223,1,9,1324.0
224,-1,0,815.06
224,-1,1,2950.0299999999997
224,-1,2,2232.04
224,-1,3,615.02
224,-1,4,514.0799999999999
224,-1,5,316.0
224,-1,6,306.05
224,-1,7,205.09
224,-1,8,8.01
224,-1,9,101.07
224,0,0,205.06
224,0,1,104.03
224,0,2,3.04
224,0,3,4.02
224,0,4,508.08
224,0,5,2.0
224,0,6,103.05
224,0,7,0.09
224,0,8,1.01
224,0,9,202.07
224,1,0,1.06
224,1,1,409.03
224,1,2,6.04
224,1,3,0.02
224,1,4,102.08
224,1,5,308.0
224,1,6,810.05
224,1,7,407.09000000000003
224,1,8,914.01
224,1,9,101.07
231,-1,0,610.01
231,-1,1,414.03
231,-1,2,1521.0900000000001
231,-1,3,916.0
231,-1,4,1628.08
231,-1,5,823.06
231,-1,6,104.02
231,-1,7,309.04
231,-1,8,203.05
231,-1,9,1.07
231,0,0,1.01
231,0,1,102.03
231,0,2,1.09
231,0,3,103.0
231,0,4,213.07999999999998
231,0,5,102.06
231,0,6,0.02
231,0,7,1.04
231,0,8,103.05
231,0,9,1.07
231,1,0,103.01
231,1,1,7.03
231,1,2,206.09
231,1,3,309.0
231,1,4,515.0799999999999
231,1,5,109.06
231,1,6,12.02
231,1,7,512.04
231,1,8,719.05
231,1,9,405.07
232,-1,0,1014.06
232,-1,1,817.02
232,-1,2,3555.04
232,-1,3,414.0
232,-1,4,1026.0900000000001
232,-1,5,917.01
232,-1,6,104.07
232,-1,7,3.08
232,-1,8,2.0300000000000002
232,-1,9,205.05
232,0,0,1.06
232,0,1,1.02
232,0,2,3.04
232,0,3,1.0
232,0,4,110.09
232,0,5,305.01
232,0,6,1.07
232,0,7,102.08
232,0,8,0.03
232,0,9,0.05
232,1,0,304.06
232,1,1,1.02
232,1,2,1.04
232,1,3,102.0
232,1,4,108.09
232,1,5,616.01
232,1,6,304.07
232,1,7,923.0799999999999
232,1,8,405.03
232,1,9,507.05
233,-1,0,1129.01
233,-1,1,412.07
233,-1,2,207.04000000000002
233,-1,3,109.02
233,-1,4,618.0799999999999
233,-1,5,1120.0900000000001
233,-1,6,101.06
233,-1,7,101.0
233,-1,8,110.05
233,-1,9,104.03
233,0,0,108.01
233,0,1,0.07
233,0,2,3.04
233,0,3,0.02
233,0,4,414.08
233,0,5,103.09
233,0,6,206.06
233,0,7,103.0
233,0,8,204.05
233,0,9,106.03
233,1,0,514.01
233,1,1,1.07
233,1,2,104.04
233,1,3,210.01999999999998
233,1,4,211.07999999999998
233,1,5,7.09
233,1,6,613.06
233,1,7,408.0
233,1,8,306.05
233,1,9,1222.03
234,-1,0,612.02
234,-1,1,2647.0699999999997
234,-1,2,1423.04
234,-1,3,1116.0900000000001
234,-1,4,618.01
234,-1,5,1124.05
234,-1,6,306.0
234,-1,7,408.08
234,-1,8,5.0600000000000005
234,-1,9,305.03
234,0,0,2.02
234,0,1,103.07
234,0,2,105.04
234,0,3,103.09
234,0,4,507.01
234,0,5,305.05
234,0,6,2.0
234,0,7,304.08
234,0,8,2.06
234,0,9,0.03
234,1,0,4.02
234,1,1,106.07
234,1,2,103.04
234,1,3,0.09
234,1,4,311.01
234,1,5,106.05
234,1,6,607.0
234,1,7,407.08
234,1,8,609.06
234,1,9,2.0300000000000002
